STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",ES,Spain,2022,,9.2,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",ES,Spain,2023,,7.3,,p,provisional,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",ES,Spain,2024,,7.3,,p,provisional,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2009,,18.5,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2010,,17.8,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2011,,18.8,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2012,,18.0,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2013,,17.2,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2014,,17.0,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2015,,16.1,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2016,,15.6,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2017,,15.1,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2018,,14.7,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2019,,14.9,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2020,,14.7,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2021,,14.3,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2022,,14.0,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2023,,12.5,,p,provisional,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",NL,Netherlands,2024,,11.2,,p,provisional,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2009,,10.0,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2010,,12.8,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2011,,12.9,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2012,,15.0,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2013,,13.3,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2014,,14.9,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2015,,16.0,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2016,,13.9,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2017,,10.8,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2018,,8.9,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2019,,9.4,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2020,,8.3,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2021,,7.1,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2022,,6.3,,,,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2023,,8.6,,p,provisional,,
dataflow,ESTAT:TESEM180(1.0),Gender pay gap in unadjusted form,A,Annual,PC,Percentage,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",PT,Portugal,2024,,7,,p,provisional,,
